combat,time,round,actor,action,target,damage,actor_PV,target_PV
1,2025-11-10T15:07:27.674,1,Jed,skill,Hussin,34,100,86
1,2025-11-10T15:07:27.674,1,Hussin,attack,Jed,35,86,65
1,2025-11-10T15:07:27.675,2,Jed,skill,Hussin,37,65,49
1,2025-11-10T15:07:27.675,2,Hussin,attack,Jed,37,49,28
1,2025-11-10T15:07:27.675,3,Jed,attack,Hussin,19,28,30
1,2025-11-10T15:07:27.675,3,Hussin,attack,Jed,28,30,0
2,2025-11-10T15:07:27.676,1,Jed,skill,Hussin,34,100,86
2,2025-11-10T15:07:27.676,1,Hussin,skill,Jed,40,86,60
2,2025-11-10T15:07:27.676,2,Jed,skill,Hussin,77,60,9
2,2025-11-10T15:07:27.676,2,Hussin,skill,Jed,38,9,22
2,2025-11-10T15:07:27.676,3,Jed,attack,Hussin,8,22,1
2,2025-11-10T15:07:27.676,3,Hussin,attack,Jed,22,1,0
3,2025-11-10T15:07:27.676,1,Jed,skill,Hussin,38,100,82
3,2025-11-10T15:07:27.677,1,Hussin,attack,Jed,33,82,67
3,2025-11-10T15:07:27.677,2,Jed,skill,Hussin,34,67,48
3,2025-11-10T15:07:27.677,2,Hussin,skill,Jed,39,48,28
3,2025-11-10T15:07:27.677,3,Jed,attack,Hussin,14,28,34
3,2025-11-10T15:07:27.678,3,Hussin,attack,Jed,21,34,7
3,2025-11-10T15:07:27.678,4,Jed,attack,Hussin,19,7,15
3,2025-11-10T15:07:27.678,4,Hussin,attack,Jed,7,15,0
4,2025-11-10T15:07:27.679,1,Jed,skill,Hussin,36,100,84
4,2025-11-10T15:07:27.679,1,Hussin,skill,Jed,39,84,61
4,2025-11-10T15:07:27.679,2,Jed,skill,Hussin,84,61,0
5,2025-11-10T15:07:27.679,1,Jed,skill,Hussin,84,100,36
5,2025-11-10T15:07:27.68,1,Hussin,attack,Jed,45,36,55
5,2025-11-10T15:07:27.68,2,Jed,skill,Hussin,34,55,2
5,2025-11-10T15:07:27.68,2,Hussin,attack,Jed,36,2,19
5,2025-11-10T15:07:27.68,3,Jed,attack,Hussin,2,19,0
6,2025-11-10T15:07:27.681,1,Jed,skill,Hussin,35,100,85
6,2025-11-10T15:07:27.681,1,Hussin,skill,Jed,68,85,32
6,2025-11-10T15:07:27.681,2,Jed,skill,Hussin,34,32,51
6,2025-11-10T15:07:27.681,2,Hussin,attack,Jed,29,51,3
6,2025-11-10T15:07:27.681,3,Jed,attack,Hussin,15,3,36
6,2025-11-10T15:07:27.682,3,Hussin,attack,Jed,3,36,0
7,2025-11-10T15:07:27.682,1,Jed,skill,Hussin,81,100,39
7,2025-11-10T15:07:27.683,1,Hussin,attack,Jed,26,39,74
7,2025-11-10T15:07:27.683,2,Jed,skill,Hussin,39,74,0
8,2025-11-10T15:07:27.683,1,Jed,skill,Hussin,29,100,91
8,2025-11-10T15:07:27.683,1,Hussin,attack,Jed,35,91,65
8,2025-11-10T15:07:27.683,2,Jed,skill,Hussin,33,65,58
8,2025-11-10T15:07:27.683,2,Hussin,attack,Jed,24,58,41
8,2025-11-10T15:07:27.683,3,Jed,attack,Hussin,22,41,36
8,2025-11-10T15:07:27.683,3,Hussin,attack,Jed,34,36,7
8,2025-11-10T15:07:27.683,4,Jed,attack,Hussin,16,7,20
8,2025-11-10T15:07:27.685,4,Hussin,attack,Jed,7,20,0
9,2025-11-10T15:07:27.685,1,Jed,skill,Hussin,33,100,87
9,2025-11-10T15:07:27.685,1,Hussin,skill,Jed,38,87,62
9,2025-11-10T15:07:27.685,2,Jed,skill,Hussin,37,62,50
9,2025-11-10T15:07:27.685,2,Hussin,attack,Jed,29,50,33
9,2025-11-10T15:07:27.685,3,Jed,attack,Hussin,14,33,36
9,2025-11-10T15:07:27.686,3,Hussin,attack,Jed,28,36,5
9,2025-11-10T15:07:27.686,4,Jed,attack,Hussin,36,5,0
10,2025-11-10T15:07:27.686,1,Jed,skill,Hussin,34,100,86
10,2025-11-10T15:07:27.686,1,Hussin,attack,Jed,45,86,55
10,2025-11-10T15:07:27.686,2,Jed,skill,Hussin,34,55,52
10,2025-11-10T15:07:27.686,2,Hussin,skill,Jed,36,52,19
10,2025-11-10T15:07:27.686,3,Jed,attack,Hussin,13,19,39
10,2025-11-10T15:07:27.688,3,Hussin,attack,Jed,19,39,0
11,2025-11-10T15:07:27.688,1,Jed,skill,Hussin,33,100,87
11,2025-11-10T15:07:27.688,1,Hussin,attack,Jed,31,87,69
11,2025-11-10T15:07:27.688,2,Jed,skill,Hussin,35,69,52
11,2025-11-10T15:07:27.688,2,Hussin,skill,Jed,39,52,30
11,2025-11-10T15:07:27.689,3,Jed,attack,Hussin,18,30,34
11,2025-11-10T15:07:27.689,3,Hussin,attack,Jed,30,34,0
12,2025-11-10T15:07:27.689,1,Jed,skill,Hussin,32,100,88
12,2025-11-10T15:07:27.689,1,Hussin,attack,Jed,28,88,72
12,2025-11-10T15:07:27.689,2,Jed,skill,Hussin,35,72,53
12,2025-11-10T15:07:27.689,2,Hussin,attack,Jed,25,53,47
12,2025-11-10T15:07:27.689,3,Jed,attack,Hussin,14,47,39
12,2025-11-10T15:07:27.689,3,Hussin,attack,Jed,27,39,20
12,2025-11-10T15:07:27.69,4,Jed,attack,Hussin,12,20,27
12,2025-11-10T15:07:27.69,4,Hussin,attack,Jed,20,27,0
13,2025-11-10T15:07:27.69,1,Jed,skill,Hussin,33,100,87
13,2025-11-10T15:07:27.69,1,Hussin,attack,Jed,36,87,64
13,2025-11-10T15:07:27.691,2,Jed,skill,Hussin,33,64,54
13,2025-11-10T15:07:27.691,2,Hussin,attack,Jed,53,54,11
13,2025-11-10T15:07:27.691,3,Jed,attack,Hussin,12,11,42
13,2025-11-10T15:07:27.691,3,Hussin,skill,Jed,11,42,0
14,2025-11-10T15:07:27.691,1,Jed,skill,Hussin,34,100,86
14,2025-11-10T15:07:27.691,1,Hussin,skill,Jed,37,86,63
14,2025-11-10T15:07:27.692,2,Jed,skill,Hussin,79,63,7
14,2025-11-10T15:07:27.692,2,Hussin,skill,Jed,39,7,24
14,2025-11-10T15:07:27.692,3,Jed,attack,Hussin,7,24,0
15,2025-11-10T15:07:27.692,1,Jed,skill,Hussin,34,100,86
15,2025-11-10T15:07:27.692,1,Hussin,skill,Jed,36,86,64
15,2025-11-10T15:07:27.692,2,Jed,skill,Hussin,79,64,7
15,2025-11-10T15:07:27.693,2,Hussin,attack,Jed,46,7,18
15,2025-11-10T15:07:27.693,3,Jed,attack,Hussin,7,18,0
16,2025-11-10T15:07:27.693,1,Jed,skill,Hussin,68,100,52
16,2025-11-10T15:07:27.694,1,Hussin,skill,Jed,38,52,62
16,2025-11-10T15:07:27.694,2,Jed,skill,Hussin,52,62,0
17,2025-11-10T15:07:27.694,1,Jed,skill,Hussin,36,100,84
17,2025-11-10T15:07:27.694,1,Hussin,attack,Jed,51,84,49
17,2025-11-10T15:07:27.694,2,Jed,skill,Hussin,36,49,48
17,2025-11-10T15:07:27.694,2,Hussin,skill,Jed,37,48,12
17,2025-11-10T15:07:27.695,3,Jed,attack,Hussin,20,12,28
17,2025-11-10T15:07:27.695,3,Hussin,attack,Jed,12,28,0
18,2025-11-10T15:07:27.695,1,Jed,skill,Hussin,31,100,89
18,2025-11-10T15:07:27.695,1,Hussin,skill,Jed,39,89,61
18,2025-11-10T15:07:27.695,2,Jed,skill,Hussin,39,61,50
18,2025-11-10T15:07:27.695,2,Hussin,attack,Jed,31,50,30
18,2025-11-10T15:07:27.696,3,Jed,attack,Hussin,29,30,21
18,2025-11-10T15:07:27.696,3,Hussin,skill,Jed,30,21,0
19,2025-11-10T15:07:27.696,1,Jed,skill,Hussin,36,100,84
19,2025-11-10T15:07:27.697,1,Hussin,skill,Jed,39,84,61
19,2025-11-10T15:07:27.697,2,Jed,skill,Hussin,32,61,52
19,2025-11-10T15:07:27.697,2,Hussin,skill,Jed,38,52,23
19,2025-11-10T15:07:27.698,3,Jed,attack,Hussin,18,23,34
19,2025-11-10T15:07:27.699,3,Hussin,attack,Jed,22,34,1
19,2025-11-10T15:07:27.699,4,Jed,attack,Hussin,22,1,12
19,2025-11-10T15:07:27.699,4,Hussin,attack,Jed,1,12,0
20,2025-11-10T15:07:27.701,1,Jed,skill,Hussin,36,100,84
20,2025-11-10T15:07:27.701,1,Hussin,attack,Jed,37,84,63
20,2025-11-10T15:07:27.701,2,Jed,skill,Hussin,40,63,44
